caracNew,modalite,modaNiv1,modaNiv1_Color,modaNiv2_Color,modaNiv2,ModaNiv2remarques,rangInitial
Type de communauté,Double,Double,#d95f02,#d95f02,Double,Double,126
Type de communauté,Féminine,Féminine,#7570b3,#7570b3,Féminine,Féminine,127
Type de communauté,Masculine,Masculine,#1b9e77,#1b9e77,Masculine,Masculine,128
Relations,Déplacement d'institution,Déplacement,,,à supprimer car = changement de site dans disparition,,129
Relations,À la collation de,hiérarchique ascendante,#a1d99b,#a1d99b,À la collation de,1,130
Relations,Appartient à,hiérarchique ascendante,#9ecae1,#9ecae1,Appartient à,2,131
Relations,Appartient à,hiérarchique asc. Ecole,#c994c7,#c994c7,Appartient à (école),,132
Relations,Filiation ascendante directe,hiérarchique ascendante,#fc9272,#fc9272,Filiation ascendante directe,3,133
Relations,Droit de patronage,hiérarchique descendante,#31a354,#31a354,Droit de patronage,1,134
Relations,Filiation descendante,hiérarchique descendante,#de2d26,#de2d26,Filiation descendante,3,135
Relations,Possède,hiérarchique desc. Ecole,#dd1c77,#dd1c77,Possède (école),,136
Relations,Possède,hiérarchique descendante,#3182bd,#3182bd,Possède,2,137
Relations,Association de prière,Relation horizontale,#d95f0e,#d95f0e,Association de prière,4,138
