idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1066,Mureau (1),NA,48.364348,5.589848,approximative,Toul,5,1134,1244,110,1147,1244,97
1067,Nantelle,Sainte Marie,48.648,5.2,precise,Toul,7,1134,1800,666,1243,1800,557
1068,Ménil-en-Saintois,NA,48.302927,5.973238,approximative,Toul,4,1100,1800,700,1100,1800,700
1069,Saint-Hilaire,Saint-Hilaire,48.92,5.32,precise,Toul,4,1120,1800,680,1120,1800,680
1070,Vandeléville,NA,48.424993,5.991558,approximative,Toul,5,1097,1800,703,1097,1800,703
1071,Boulaincourt,NA,48.372204,6.086978,approximative,Toul,5,1100,1800,700,1100,1800,700
1072,Larzicourt,Saint Georges,48.635,4.715,precise,Châlons,4,1114,1800,686,1114,1800,686
1073,Saint-Antoine-des-Champs,Saint Antoine,48.8485289,2.3825698,precise,Paris,8,1191,1800,609,1191,1800,609
1074,"Fécamp, La Trinité",La Trinité,49.7554208,0.3815036,precise,Rouen,21,665,1791,1126,658,1791,1133
1075,Notre-Dame-de-Bondeville,Notre-Dame,49.4933814,1.0461117,precise,Rouen,6,1128,1800,672,1128,1800,672
1076,Fontaine,Saint Pancras,47.8551412,6.3346251,precise,Besançon,18,595,1791,1196,595,1791,1196
1077,"Poitiers, Saint-Nicolas",Saint Nicolas,46.579466,0.339691,precise,Poitiers,6,1050,1800,750,1050,1800,750
1078,"Poitiers, Sainte-Radegonde",Sainte Radegonde,46.5800554,0.3520891,precise,Poitiers,1,NA,NA,NA,NA,NA,NA
1079,"Savigny, Saint-Martin",Saint Martin,45.8159138,4.5758504,precise,Lyon,4,1107,1107,0,Inf,-Inf,NA
1080,La Trinité,Trinité,47.1287988,1.0125889,precise,Tours,2,NA,NA,NA,NA,NA,NA
1081,"Poitiers, Montierneuf",Saint Jean l'Evangéliste,46.5892324,0.344992,precise,Poitiers,10,1082,1800,718,1082,1800,718
1082,Saint-Jean-d'Angély,Saint-Jean-Baptiste,45.9437785,-0.5221404,precise,Poitiers,4,1000,1092,92,NA,NA,NA
1083,"Beruges, Saint-Gervais-et-Saint-Protais",Saint Gervais et saint Protais,46.555423,0.201804,approximative,Poitiers,4,1124,1800,676,1124,1800,676
1084,La Chapelle-Moulière (d. Montierneuf),Sainte Madeleine,46.646006,0.536904,approximative,Poitiers,4,1157,1800,643,1157,1800,643
1085,La Chapelle-Montreuil (d. Montierneuf),Saint Eutrope,46.521677,0.134742,approximative,Poitiers,3,1110,1800,690,1110,1800,690
1086,La Foye-Monjault (d. Montierneuf),Saint Simon,46.187074,-0.533007,approximative,Poitiers,3,1244,1800,556,1244,1800,556
1087,"Les Essards, Saint-Nicolas (d. Montierneuf)",Saint Nicolas,45.7916129,-0.758529,precise,Saintes,3,1449,1800,351,1449,1800,351
1088,"Saint-Paixent, Notre-Dame",Saint Paixent,46.2326832,0.696817,precise,Poitiers,1,1125,1800,675,1125,1800,675
1089,Leignes-sur-Fontaine (d. Montierneuf),Saint-Hilaire,46.5057053,0.7777725,precise,Poitiers,3,1094,1800,706,1094,1800,706
1090,"Marigny, église Saint-Jean (d. Montierneuf)",Saint Jean,46.1977428,-0.4179902,precise,Poitiers,2,1330,1800,470,1330,1800,470
1091,Benon,Saint Pierre,46.20543,-0.8145146,precise,Saintes,5,1000,1800,800,1000,1800,800
1092,Champdolent,Notre-Dame,45.9197358,-0.8000232,precise,Saintes,1,NA,NA,NA,NA,NA,NA
1094,Cherbonnières,Saint Saturnin,45.9628907,-0.3382545,precise,Saintes,1,NA,NA,NA,NA,NA,NA
1095,"Poitiers, Saint-Paul",Saint Paul,46.5812408,0.3461225,precise,Poitiers,1,NA,NA,NA,NA,NA,NA
1096,Corme-Ecluse,Notre-Dame,46.847892,2.2292496,precise,Saintes,1,NA,NA,NA,NA,NA,NA
1097,Courçon,Notre-Dame,46.255136,-0.795654,commune,Saintes,1,NA,NA,NA,NA,NA,NA
1098,Dompierre-sur-Charente,Saint Léonard de Chaumes,45.7085,-0.496481,commune,Saintes,1,NA,NA,NA,NA,NA,NA
1100,"Charroux, Saint-Sauveur (abbaye)",Saint Sauveur,46.143466,0.404349,precise,Poitiers,131,769,1791,1022,769,1791,1022
1101,"Saintes, abbaye-aux-Dames",Sainte Marie,45.7448618,-0.6238789,precise,Saintes,3,1000,1148,148,NA,NA,NA
1102,Corme-Royal,Saint Nazaire,45.5731914,-0.5486385,precise,Saintes,4,1000,1800,800,1000,1800,800
1103,"Asnières-sur-Blour, Saint-Laurent-du-Theil (Charroux)",Saint Laurent,46.15006,0.783497,approximative,Limoges,8,1154,1791,637,1154,1791,637
1104,"Queaux, Grand-Chaume (d. Charroux)",Sainte Catherine,46.3015575,0.6285414,precise,Poitiers,6,1216,1780,564,1216,1780,564
1105,"Alloue, Notre-Dame (Charroux)",Notre-Dame,46.0257972,0.5160315,precise,Angoulême,10,1050,1781,731,1050,1781,731
